"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number";"Exclude from BOM";"Projekt"
"R17";"2k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R18";"12k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R19";"2k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R20";"12k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R21";"100";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R22";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R23";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R24";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R25";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R26";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R27";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R28";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R29";"100k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"RT1206FRD0722KL ";"603-RT1206FRD0722KL ";"";"Digitalmodul"
"R38";"12k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R39";"12k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R40";"12k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R41";"12k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R42";"4,7k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"R43";"2k";"Resistor_SMD:R_1206_3216Metric";"1";"YAGEO ";"AC1206FR-076K2L ";"603-AC1206FR-076K2L ";"";"Digitalmodul"
"TP1";"TestPoint";"TestPoint:TestPoint_Pad_D2.0mm";"1";"";"";"";"";"Digitalmodul"
