"Reference";"Value";"Footprint";"Qty";"Manufacturer_Name";"Manufacturer_Part_Number";"Mouser Part Number";"Exclude from BOM";"Projekt"
"J1";"658801103040";"SamacSys_Parts:658801103040";"1";"Wurth Elektronik";"658801103040";"710-658801103040";"";"Relaismodul Adapter"
"J2";"Conn_02x20_Odd_Even";"Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical";"1";"";"";"";"";"Relaismodul Adapter"
